## MOW 0.1.3	mya	CC BY 4.0
03082979-n	mya:lemma	ကွန်ပြူတာ
03106110-n	mya:lemma	ကြိုး
03116651-a	mya:lemma	ထိုင်း
03120778-n	mya:lemma	ရုံး
03147509-n	mya:lemma	ခွက်
03162460-n	mya:lemma	အမှောင်ခန်း
03178782-n	mya:lemma	ဆင်
03219135-n	mya:lemma	အရုပ်
03221720-n	mya:lemma	ဒွာရ
03223686-n	mya:lemma	ဖိနပ်ချွတ်
03223686-n	mya:lemma	အပေါက်ဝ
03223686-n	mya:lemma	တံခါးခုံ
03224032-n	mya:lemma	အပေါက်ဝ
03231912-n	mya:lemma	မြောင်း
03249342-n	mya:lemma	ဆေးဆိုင်
03249342-n	mya:lemma	ဆေးဆိုင်
03259505-n	mya:lemma	အိမ်
03271574-n	mya:lemma	ပန်ကာ
03290096-n	mya:lemma	အလံ
03291819-n	mya:lemma	စာအိတ်
03294833-n	mya:lemma	ခဲဖျက်
03316406-n	mya:lemma	စက်ရုံ
03320046-n	mya:lemma	ပန်ကာ
03333129-n	mya:lemma	မှန်ပြောင်း
03336459-n	mya:lemma	ရုပ်
03336459-n	mya:lemma	အရုပ်
03354903-n	mya:lemma	အလံ
03372029-n	mya:lemma	ပလွေ
03383948-n	mya:lemma	ခရင်း
03390207-n	mya:lemma	အပိုင်း
03417345-n	mya:lemma	ဥယျာဉ်
03461385-n	mya:lemma	ဈေး
03462972-n	mya:lemma	ငါးစာ
03471473-n	mya:lemma	မြောင်း
03481172-n	mya:lemma	တူ
03484931-n	mya:lemma	မှန်ဘီလူး
03497657-n	mya:lemma	ဦးထုပ်
03511426-n	mya:lemma	ရှူးဖိနပ်တို့၏ခွာ
03519981-n	mya:lemma	ပေတစ်ရာလမ်း
03540595-n	mya:lemma	ဆေးရုံ
03561345-n	mya:lemma	ပုံ
03592245-n	mya:lemma	အကျဉ်း
03592245-n	mya:lemma	ထောင်
03592245-n	mya:lemma	အကျဉ်းထောင်
03596787-n	mya:lemma	ကျောက်
03596787-n	mya:lemma	ကျောက်မျက်ရတနာ
03596787-n	mya:lemma	ရတနာ
03600977-n	mya:lemma	အဆစ်
03621473-n	mya:lemma	စွန်
03623556-n	mya:lemma	ဓား
03649459-n	mya:lemma	ရုံးပြင်ကနား
03651084-n	mya:lemma	ခဲဆံ
03656484-n	mya:lemma	မှန်ဘီလူး
03661043-n	mya:lemma	စာကြည့်တိုက်
03662601-n	mya:lemma	အသက်ကယ်လှေ
03688832-n	mya:lemma	မှန်
03697913-n	mya:lemma	လုံချည်
03745146-n	mya:lemma	တိရစ္ဆာန်ဥယျာဉ်
03745146-n	mya:lemma	တိရစ္ဆာန်ရုံ
03748886-n	mya:lemma	ကုန်
03816136-n	mya:lemma	အပ်
03841666-n	mya:lemma	ရုံး
03877845-n	mya:lemma	နန်းတော်
03892891-n	mya:lemma	အပိုင်း
03916031-n	mya:lemma	ရေမွှေး
03917048-n	mya:lemma	မှန်ပြောင်း
03928116-n	mya:lemma	စန္ဒရား
03931044-n	mya:lemma	ရုပ်
03931044-n	mya:lemma	အရုပ်
03945167-n	mya:lemma	ဆေးတံ
03999992-n	mya:lemma	စာပုံနှိပ်တိုက်
04000311-n	mya:lemma	စာပုံနှိပ်စက်
04000311-n	mya:lemma	ပုံနှိပ်စက်
04000311-n	mya:lemma	ပုံနှိပ်တိုက်
04005630-n	mya:lemma	အကျဥ်းထောင်
04024676-n	mya:lemma	ပန်ကာ
04025350-n	mya:lemma	ရုပ်သေး
04025350-n	mya:lemma	ရုပ်သေးရုပ်
04049098-n	mya:lemma	ဘူတာရုံ
04049098-n	mya:lemma	ဘူတာရုံ
04049098-n	mya:lemma	ဘူတာ
04049585-n	mya:lemma	မိုးရေချိန်တိုင်းကိရိယာ
04054213-n	mya:lemma	မြေအောက်မီးရထား
04081281-n	mya:lemma	စားသောက်ဆိုင်
04094720-n	mya:lemma	ထုပိတ်
04096066-n	mya:lemma	လမ်း
04116512-n	mya:lemma	ခဲဖျက်
04128837-n	mya:lemma	ရွက်သင်္ဘော
04136333-n	mya:lemma	ထဘီ
04146050-n	mya:lemma	ကျောင်း
04146050-n	mya:lemma	စာသင်ကျောင်း
04148054-n	mya:lemma	ကတ်ကြေး
04153751-n	mya:lemma	ဝက်အူ
04154565-n	mya:lemma	ဝက်အူလှည့်
